Course_number,Time1,Place
1122_132012,R567,YR103[YM]
1122_132014,F56,NULL
1122_132015,F34,YR103[YM]
1122_132016,M34,YK436[YM]
1122_132017,F34,YL402[YM]
1122_132100,M12,YN208[YM]
1122_132101,M34,YT203[YM]
1122_132102,M56,YT203[YM]
1122_132103,M9a,YN208[YM]
1122_132104,T34,YT304[YM]
1122_132105,T12,YT304[YM]
1122_132106,T56,YT202[YM]
1122_132107,W34,YT302[YM]
1122_132108,W56,YT302[YM]
1122_132109,W9a,YN208[YM]
1122_132110,F34,YN208[YM]
1122_132111,R56,YT301[YM]
1122_132112,M78,YT203[YM]
1122_132113,F12,YN208[YM]
1122_132114,F56,YN118[YM]
1122_132115,F78,YN208[YM]
1122_132116,U89a,NULL
1122_132117,W78,YL405[YM]
1122_132200,T34,YB101[YM]
1122_132201,W78,YT104[YM]
1122_132202,R34,YB102[YM]
1122_132203,M56,YB101[YM]
1122_132204,W78,YB101[YM]
1122_132205,F78,YT202[YM]
1122_132206,M78,YT104[YM]
1122_132207,W56,YT301[YM]
1122_132208,W12,NULL
1122_132209,M56,YT103[YM]
1122_132210,W34,YB101[YM]
1122_132211,R78,YB102[YM]
1122_132212,F56,YB101[YM]
1122_132213,T56,YB102[YM]
1122_132214,R56,YB101[YM]
1122_132215,R56,YB101[YM]
1122_132216,Tn,YB100[YM]
1122_132300,R67,YB100[YM]
1122_132301,F234,YEA200[YM]
1122_132302,T234,YT301[YM]
1122_132303,T567,YEA301[YM]
1122_132304,R234,YEA300[YM]
1122_132305,W234,YEA200[YM]
1122_132306,F567,YEA205[YM]
1122_132307,M34,YEA200[YM]
1122_132308,T234,YEA200[YM]
1122_132309,M89a,YEA205[YM]
1122_132310,T567,YEA205[YM]
1122_132311,W89a,YB102[YM]
1122_132314,T34n,YEA301[YM]
1122_132315,W567,YEA301[YM]
1122_132400,T34,YB424[YM]
1122_132401,T234,YB603[YM]
1122_132402,F56,YB603[YM]
1122_132403,T567,YB419[YM]
1122_132404,S89a,YB602[YM]
1122_132405,F12,YB419[YM]
1122_132406,M34,YB530[YM]
1122_132407,M9a,YB429[YM]
1122_132408,M9a,YB429[YM]
1122_132409,M34,YB424[YM]
1122_132410,M5678,YB102[YM]
1122_132411,M5678,YB102[YM]
1122_132412,F56,YB424[YM]
1122_132413,Fab,YB601[YM]
1122_132414,Fcd,YB601[YM]
1122_132415,F56,YB429[YM]
1122_132416,F234,YL401[YM]
1122_132417,S34,YB602[YM]
1122_132418,M34,NULL
1122_132419,R34,YB602[YM]
1122_132420,R34,YB429[YM]
1122_132421,M234,YB603[YM]
1122_132422,W567,YB424[YM]
1122_132424,S78,YB603[YM]
1122_132426,R567,YB424[YM]
1122_132500,F789,YB101[YM]
